"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 20:06:56 GMT 2023","Sun Apr 23 20:06:56 GMT 2023","224","tests.unit.service","test_engine","","","","test_get_connection",""
"broken","Sun Apr 23 20:05:26 GMT 2023","Sun Apr 23 20:05:27 GMT 2023","311","tests.unit.async_db","test_connection","","","","test_connect_engine_name","connect properly handles engine_name"
"broken","Sun Apr 23 20:06:18 GMT 2023","Sun Apr 23 20:06:18 GMT 2023","133","tests.unit.client.auth","test_auth","","","","test_auth_refresh_on_expiration","Auth refreshes the token on expiration."
"passed","Sun Apr 23 20:06:20 GMT 2023","Sun Apr 23 20:06:20 GMT 2023","247","tests.unit.client.auth","test_auth","","","","test_auth_token_storage",""
"broken","Sun Apr 23 20:06:46 GMT 2023","Sun Apr 23 20:06:46 GMT 2023","4","tests.unit.db","test_cursor","","","","test_cursor_server_side_async_cancel","
    Cursor is able to cancel query server-side asynchronously and
    query_id is returned.
    "
"passed","Sun Apr 23 20:06:26 GMT 2023","Sun Apr 23 20:06:26 GMT 2023","1","tests.unit.client.auth","test_token","","","","test_token_expired","Authorization error is raised when token expires."
"broken","Sun Apr 23 20:05:32 GMT 2023","Sun Apr 23 20:05:32 GMT 2023","6","tests.unit.async_db","test_cursor","","","","test_cursor_state","Cursor state changes depend on the operations performed with it."
"passed","Sun Apr 23 20:06:07 GMT 2023","Sun Apr 23 20:06:07 GMT 2023","0","tests.unit.async_db","test_typing_parse","","","","test_parse_value_int","parse_value parses all int values correctly."
"broken","Sun Apr 23 20:06:42 GMT 2023","Sun Apr 23 20:06:42 GMT 2023","10","tests.unit.db","test_cursor","","","","test_cursor_fetchall","cursor fetchall fetches all rows that left after last query."
"broken","Sun Apr 23 20:06:14 GMT 2023","Sun Apr 23 20:06:15 GMT 2023","106","tests.unit.client","test_client","","","","test_client_account_id",""
"broken","Sun Apr 23 20:06:21 GMT 2023","Sun Apr 23 20:06:21 GMT 2023","1","tests.unit.client.auth","test_auth_async","","","","test_auth_adds_header","Auth adds required authentication headers to httpx.Request."
"passed","Sun Apr 23 20:05:26 GMT 2023","Sun Apr 23 20:05:26 GMT 2023","0","tests.unit.async_db","test_connection","","","","test_connect_empty_parameters",""
"broken","Sun Apr 23 20:05:38 GMT 2023","Sun Apr 23 20:05:38 GMT 2023","15","tests.unit.async_db","test_cursor","","","","test_cursor_multi_statement","executemany with multiple parameter sets is not supported."
