"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 26 15:07:48 GMT 2023","Fri May 26 15:07:49 GMT 2023","858","tests.integration.dbapi.sync","test_queries","","","","test_select","Select handles all data types properly."
"passed","Fri May 26 15:07:45 GMT 2023","Fri May 26 15:07:46 GMT 2023","384","tests.integration.dbapi.sync","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"skipped","Fri May 26 15:07:48 GMT 2023","Fri May 26 15:07:48 GMT 2023","0","tests.integration.dbapi.sync","test_queries","","","","test_long_query","AWS ALB TCP timeout set to 350, make sure we handle the keepalive correctly."
"skipped","Fri May 26 15:07:46 GMT 2023","Fri May 26 15:07:46 GMT 2023","0","tests.integration.dbapi.sync","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"skipped","Fri May 26 15:07:57 GMT 2023","Fri May 26 15:07:57 GMT 2023","0","tests.integration.dbapi.sync","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Fri May 26 15:07:46 GMT 2023","Fri May 26 15:07:47 GMT 2023","891","tests.integration.dbapi.sync","test_queries","","","","test_connect_no_engine","Connecting with engine name is handled properly."
"passed","Fri May 26 15:07:43 GMT 2023","Fri May 26 15:07:56 GMT 2023","13293","tests.integration.dbapi.async","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
"passed","Fri May 26 15:08:04 GMT 2023","Fri May 26 15:08:05 GMT 2023","226","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"skipped","Fri May 26 15:07:42 GMT 2023","Fri May 26 15:07:42 GMT 2023","0","tests.integration.dbapi.async","test_auth_async","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Fri May 26 15:08:18 GMT 2023","Fri May 26 15:08:18 GMT 2023","492","tests.integration.dbapi.sync","test_system_engine","","","","test_show_databases",""
"passed","Fri May 26 15:08:04 GMT 2023","Fri May 26 15:08:09 GMT 2023","4382","tests.integration.resource_manager","test_engine","","","","test_engine_update_single_parameter",""
"skipped","Fri May 26 15:08:04 GMT 2023","Fri May 26 15:08:04 GMT 2023","0","tests.integration.dbapi.sync","test_queries","","","","test_server_side_async_execution_get_status","Test get_status()."
"passed","Fri May 26 15:07:45 GMT 2023","Fri May 26 15:07:45 GMT 2023","189","tests.integration.dbapi.sync","test_errors","","","","test_engine_url_not_exists","Connection properly reacts to invalid engine url error."
"passed","Fri May 26 15:08:05 GMT 2023","Fri May 26 15:08:05 GMT 2023","153","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Fri May 26 15:07:59 GMT 2023","Fri May 26 15:08:00 GMT 2023","1525","tests.integration.dbapi.sync","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Fri May 26 15:07:57 GMT 2023","Fri May 26 15:08:10 GMT 2023","13633","tests.integration.dbapi.async","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Fri May 26 15:17:41 GMT 2023","Fri May 26 15:17:41 GMT 2023","129","tests.integration.dbapi.sync","test_system_engine","","","","test_select_one","SELECT statements are supported"
"passed","Fri May 26 15:07:47 GMT 2023","Fri May 26 15:07:48 GMT 2023","812","tests.integration.dbapi.sync","test_queries","","","","test_connect_engine_name","Connecting with engine name is handled properly."
