"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 16:03:21 GMT 2023","Thu Apr 27 16:03:22 GMT 2023","387","tests.integration.dbapi.sync","test_queries","","","","test_select","Select handles all data types properly."
"passed","Thu Apr 27 16:03:22 GMT 2023","Thu Apr 27 16:03:51 GMT 2023","28866","tests.integration.dbapi.sync","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Thu Apr 27 16:03:39 GMT 2023","Thu Apr 27 16:04:03 GMT 2023","24099","tests.integration.dbapi.sync","test_queries","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Thu Apr 27 16:03:46 GMT 2023","Thu Apr 27 16:03:46 GMT 2023","99","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Thu Apr 27 16:03:38 GMT 2023","Thu Apr 27 16:03:38 GMT 2023","413","tests.integration.dbapi.sync","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Thu Apr 27 16:03:18 GMT 2023","Thu Apr 27 16:03:19 GMT 2023","460","tests.integration.dbapi.async","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Thu Apr 27 16:03:18 GMT 2023","Thu Apr 27 16:03:19 GMT 2023","902","tests.integration.dbapi.async","test_errors_async","","","","test_engine_stopped","Connection properly reacts to invalid engine name error."
"broken","Thu Apr 27 16:14:03 GMT 2023","Thu Apr 27 16:14:03 GMT 2023","74","tests.integration.dbapi.sync","test_system_engine","","","","test_select_one","SELECT statements are supported"
"skipped","Thu Apr 27 16:03:38 GMT 2023","Thu Apr 27 16:03:38 GMT 2023","0","tests.integration.dbapi.sync","test_queries","","","","test_server_side_async_execution_cancel","Test cancel()."
"passed","Thu Apr 27 16:03:46 GMT 2023","Thu Apr 27 16:03:46 GMT 2023","100","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"skipped","Thu Apr 27 16:03:19 GMT 2023","Thu Apr 27 16:03:19 GMT 2023","0","tests.integration.dbapi.async","test_queries_async","","","","test_server_side_async_execution_cancel","Test cancel."
"passed","Thu Apr 27 16:03:42 GMT 2023","Thu Apr 27 16:03:42 GMT 2023","42","tests.integration.dbapi.sync","test_queries","","","","test_server_side_async_execution_query","Make an sql query and receive an id back."
"passed","Thu Apr 27 16:03:42 GMT 2023","Thu Apr 27 16:03:46 GMT 2023","3847","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[3]",""
"passed","Thu Apr 27 16:03:20 GMT 2023","Thu Apr 27 16:03:21 GMT 2023","391","tests.integration.dbapi.sync","test_errors","","","","test_engine_stopped","Connection properly reacts to engine not running error."
"passed","Thu Apr 27 16:03:37 GMT 2023","Thu Apr 27 16:03:42 GMT 2023","4883","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[4]",""
