"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 24 14:56:41 GMT 2023","Wed May 24 14:56:48 GMT 2023","7310","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Wed May 24 14:56:41 GMT 2023","Wed May 24 14:56:50 GMT 2023","8834","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Wed May 24 14:56:52 GMT 2023","Wed May 24 14:56:55 GMT 2023","3266","tests.integration.resource_manager","test_engine","","","","test_engine_update_single_parameter",""
"skipped","Wed May 24 14:56:26 GMT 2023","Wed May 24 14:56:26 GMT 2023","0","tests.integration.dbapi.async","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Wed May 24 14:56:29 GMT 2023","Wed May 24 14:56:29 GMT 2023","281","tests.integration.dbapi.sync","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Wed May 24 14:56:27 GMT 2023","Wed May 24 14:56:28 GMT 2023","684","tests.integration.dbapi.async","test_queries_async","","","","test_select","Select handles all data types properly."
"skipped","Wed May 24 14:56:41 GMT 2023","Wed May 24 14:56:41 GMT 2023","0","tests.integration.dbapi.sync","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Wed May 24 14:56:46 GMT 2023","Wed May 24 14:56:48 GMT 2023","2498","tests.integration.dbapi.sync","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Wed May 24 14:56:26 GMT 2023","Wed May 24 14:56:27 GMT 2023","433","tests.integration.dbapi.async","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Wed May 24 14:56:27 GMT 2023","Wed May 24 14:56:28 GMT 2023","779","tests.integration.dbapi.async","test_queries_async","","","","test_connect_engine_name","Connecting with engine name is handled properly."
"passed","Wed May 24 14:56:30 GMT 2023","Wed May 24 14:56:42 GMT 2023","12725","tests.integration.dbapi.async","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Wed May 24 14:56:26 GMT 2023","Wed May 24 14:56:27 GMT 2023","1159","tests.integration.dbapi.async","test_errors_async","","","","test_engine_stopped","Connection properly reacts to invalid engine name error."
"passed","Wed May 24 14:56:50 GMT 2023","Wed May 24 14:57:04 GMT 2023","14350","tests.integration.dbapi.sync","test_queries","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
