"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 17:51:37 GMT 2023","Sun Apr 23 17:51:37 GMT 2023","0","tests.unit.async_db","test_typing_format","","","","test_format_value[some\x00value-'some\\0value']",""
"broken","Sun Apr 23 17:51:44 GMT 2023","Sun Apr 23 17:51:44 GMT 2023","1","tests.unit.async_db","test_typing_parse","","","","test_parse_value_datetime[2021-12-31 23:59:59.1234-expected0-str provided]","parse_value parses all date values correctly."
"broken","Sun Apr 23 17:51:43 GMT 2023","Sun Apr 23 17:51:43 GMT 2023","0","tests.unit.async_db","test_typing_parse","","","","test_parse_value_date[2021-12-31-expected0-str provided]","parse_value parses all date values correctly."
"broken","Sun Apr 23 17:51:31 GMT 2023","Sun Apr 23 17:51:31 GMT 2023","69","tests.unit.async_db","test_connection","","","","test_connect_no_user_agent",""
"broken","Sun Apr 23 17:52:12 GMT 2023","Sun Apr 23 17:52:12 GMT 2023","12","tests.unit.utils","test_usage_tracker","","","","test_incorrect_user_agent[drivers3-clients3]",""
"broken","Sun Apr 23 17:51:54 GMT 2023","Sun Apr 23 17:51:54 GMT 2023","252","tests.unit.db","test_connection","","","","test_cursor_initialized","Connection initialized its cursors properly."
"broken","Sun Apr 23 17:51:39 GMT 2023","Sun Apr 23 17:51:39 GMT 2023","0","tests.unit.async_db","test_typing_format","","","","test_format_value[value12-'2022-01-10 01:01:01']",""
"broken","Sun Apr 23 17:51:39 GMT 2023","Sun Apr 23 17:51:39 GMT 2023","0","tests.unit.async_db","test_typing_format","","","","test_format_value[abc-'\\x61\\x62\\x63']",""
"broken","Sun Apr 23 17:51:41 GMT 2023","Sun Apr 23 17:51:41 GMT 2023","2","tests.unit.async_db","test_typing_format","","","","test_split_format_sql[insert into t values (1, 2);select * from t;-params6-result6]",""
"passed","Sun Apr 23 17:51:45 GMT 2023","Sun Apr 23 17:51:45 GMT 2023","0","tests.unit.async_db","test_typing_parse","","","","test_parse_value_bytes","parse_value parses all int values correctly."
"broken","Sun Apr 23 17:51:36 GMT 2023","Sun Apr 23 17:51:36 GMT 2023","3","tests.unit.async_db","test_cursor","","","","test_cursor_server_side_async_cancel","
    Cursor is able to cancel query server-side asynchronously and
    query_id is returned.
    "
"broken","Sun Apr 23 17:52:12 GMT 2023","Sun Apr 23 17:52:12 GMT 2023","12","tests.unit.utils","test_usage_tracker","","","","test_incorrect_user_agent[drivers4-clients4]",""
"broken","Sun Apr 23 17:52:03 GMT 2023","Sun Apr 23 17:52:03 GMT 2023","120","tests.unit.service","test_database","","","","test_database_get_by_name",""
