"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun May 21 03:03:29 GMT 2023","Sun May 21 03:03:29 GMT 2023","1","tests.unit.async_db","test_typing_format","","","","test_format_value[value15-[1, 2, 3]]",""
"passed","Sun May 21 03:03:42 GMT 2023","Sun May 21 03:03:42 GMT 2023","121","tests.unit.service","test_engine","","","","test_engine_update",""
"passed","Sun May 21 03:03:26 GMT 2023","Sun May 21 03:03:26 GMT 2023","69","tests.unit.async_db","test_connection","","","","test_connect_with_user_agent",""
"passed","Sun May 21 03:03:34 GMT 2023","Sun May 21 03:03:34 GMT 2023","1","tests.unit.common","test_settings","","","","test_settings_auth_credentials[kwargs1]",""
"passed","Sun May 21 03:03:40 GMT 2023","Sun May 21 03:03:40 GMT 2023","129","tests.unit.service","test_engine","","","","test_engine_create_with_kwargs",""
"passed","Sun May 21 03:03:29 GMT 2023","Sun May 21 03:03:29 GMT 2023","0","tests.unit.async_db","test_typing_format","","","","test_statement_to_set[statement2-result2]",""
"passed","Sun May 21 03:03:40 GMT 2023","Sun May 21 03:03:40 GMT 2023","124","tests.unit.service","test_database","","","","test_database_get_by_name",""
"passed","Sun May 21 03:03:29 GMT 2023","Sun May 21 03:03:29 GMT 2023","0","tests.unit.async_db","test_module","","","","test_has_exceptions","Verify async module has top-level dbapi exceptions exposed."
"passed","Sun May 21 03:03:30 GMT 2023","Sun May 21 03:03:31 GMT 2023","247","tests.unit.client","test_client_async","","","","test_client_different_auths","
    Client properly handles such auth types:
    - tuple(username, password)
    - Auth
    - None
    All other types should raise TypeError.
    "
"passed","Sun May 21 03:03:32 GMT 2023","Sun May 21 03:03:32 GMT 2023","108","tests.unit.client.auth","test_request_auth","","","","test_auth_service_account","Auth can retrieve token and expiration values."
