"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 15:28:49 GMT 2023","Thu Apr 27 15:28:49 GMT 2023","377","tests.integration.dbapi.async","test_errors_async","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Thu Apr 27 15:29:19 GMT 2023","Thu Apr 27 15:29:19 GMT 2023","182","tests.integration.dbapi.sync","test_queries","","","","test_set_invalid_parameter",""
"passed","Thu Apr 27 15:29:09 GMT 2023","Thu Apr 27 15:29:35 GMT 2023","25305","tests.integration.dbapi.sync","test_queries","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"broken","Thu Apr 27 15:38:46 GMT 2023","Thu Apr 27 15:38:46 GMT 2023","118","tests.integration.dbapi.sync","test_system_engine","","","","test_select_one","SELECT statements are supported"
"passed","Thu Apr 27 15:29:09 GMT 2023","Thu Apr 27 15:29:13 GMT 2023","4734","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[3]",""
"skipped","Thu Apr 27 15:28:50 GMT 2023","Thu Apr 27 15:28:50 GMT 2023","0","tests.integration.dbapi.async","test_queries_async","","","","test_long_query","AWS ALB TCP timeout set to 350; make sure we handle the keepalive correctly."
"passed","Thu Apr 27 15:28:50 GMT 2023","Thu Apr 27 15:28:51 GMT 2023","885","tests.integration.dbapi.async","test_queries_async","","","","test_connect_no_engine","Connecting with engine name is handled properly."
"passed","Thu Apr 27 15:28:51 GMT 2023","Thu Apr 27 15:28:52 GMT 2023","486","tests.integration.dbapi.sync","test_errors","","","","test_engine_stopped","Connection properly reacts to engine not running error."
"passed","Thu Apr 27 15:28:52 GMT 2023","Thu Apr 27 15:28:52 GMT 2023","226","tests.integration.dbapi.sync","test_errors","","","","test_sql_error","Connection properly reacts to sql execution error."
"passed","Thu Apr 27 15:29:18 GMT 2023","Thu Apr 27 15:29:22 GMT 2023","4406","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[4]",""
"passed","Thu Apr 27 15:29:19 GMT 2023","Thu Apr 27 15:29:19 GMT 2023","185","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-source_firebolt/source.py-AirbyteSource/]",""
"passed","Thu Apr 27 15:29:19 GMT 2023","Thu Apr 27 15:29:20 GMT 2023","108","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"skipped","Thu Apr 27 15:29:03 GMT 2023","Thu Apr 27 15:29:03 GMT 2023","0","tests.integration.dbapi.sync","test_auth","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Thu Apr 27 15:29:20 GMT 2023","Thu Apr 27 15:29:21 GMT 2023","1340","tests.integration.dbapi.sync","test_system_engine","","","","test_alter_engine",""
"passed","Thu Apr 27 15:29:16 GMT 2023","Thu Apr 27 15:29:16 GMT 2023","655","tests.integration.dbapi.sync","test_system_engine","","","","test_show_databases",""
"skipped","Thu Apr 27 15:28:50 GMT 2023","Thu Apr 27 15:28:50 GMT 2023","0","tests.integration.dbapi.async","test_queries_async","","","","test_server_side_async_execution_cancel","Test cancel."
"passed","Thu Apr 27 15:28:49 GMT 2023","Thu Apr 27 15:28:51 GMT 2023","1248","tests.integration.dbapi.async","test_queries_async","","","","test_select","Select handles all data types properly."
"passed","Thu Apr 27 15:29:12 GMT 2023","Thu Apr 27 15:29:13 GMT 2023","630","tests.integration.resource_manager","test_database","","","","test_database_get_default_engine","
    Checks that the default engine is either running or stopped engine
    "
"skipped","Thu Apr 27 15:29:12 GMT 2023","Thu Apr 27 15:29:12 GMT 2023","0","tests.integration.dbapi.sync","test_queries","","","","test_server_side_async_execution_get_status","Test get_status()."
"skipped","Thu Apr 27 15:29:07 GMT 2023","Thu Apr 27 15:29:07 GMT 2023","0","tests.integration.dbapi.sync","test_auth","","","","test_credentials_invalidation[connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Thu Apr 27 15:29:03 GMT 2023","Thu Apr 27 15:29:07 GMT 2023","4771","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[0]",""
"skipped","Thu Apr 27 15:28:53 GMT 2023","Thu Apr 27 15:28:53 GMT 2023","0","tests.integration.dbapi.sync","test_queries","","","","test_long_query","AWS ALB TCP timeout set to 350, make sure we handle the keepalive correctly."
"passed","Thu Apr 27 15:29:20 GMT 2023","Thu Apr 27 15:29:20 GMT 2023","114","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[open-dbt/adapters/firebolt/connections.py-DBT/1.0.3]",""
"passed","Thu Apr 27 15:29:02 GMT 2023","Thu Apr 27 15:29:19 GMT 2023","16623","tests.integration.dbapi.async","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"skipped","Thu Apr 27 15:28:48 GMT 2023","Thu Apr 27 15:28:48 GMT 2023","0","tests.integration.dbapi.async","test_errors_async","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Thu Apr 27 15:28:51 GMT 2023","Thu Apr 27 15:28:51 GMT 2023","176","tests.integration.dbapi.async","test_queries_async","","","","test_server_side_async_execution_query","Make an sql query and receive an id back."
"skipped","Thu Apr 27 15:28:52 GMT 2023","Thu Apr 27 15:28:52 GMT 2023","0","tests.integration.dbapi.sync","test_errors","","","","test_database_not_exists","Connection properly reacts to invalid database error."
"passed","Thu Apr 27 15:29:19 GMT 2023","Thu Apr 27 15:29:19 GMT 2023","153","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[connect-sqlalchemy/engine/default.py-SQLAlchemy/1.0.1]",""
"skipped","Thu Apr 27 15:29:04 GMT 2023","Thu Apr 27 15:29:04 GMT 2023","0","tests.integration.dbapi.sync","test_auth","","","","test_credentials_invalidation[username_password_connection]","Auth raises Authentication Error on credentials invalidation"
"passed","Thu Apr 27 15:29:08 GMT 2023","Thu Apr 27 15:29:09 GMT 2023","817","tests.integration.dbapi.sync","test_queries","","","","test_multi_thread_connection_sharing","
    Test to verify sharing the same connection between different
    threads works. With asyncio synching an async function this used
    to fail due to a different loop having exclusive rights to the
    Httpx client. Trio fixes this issue.
    "
"passed","Thu Apr 27 15:28:51 GMT 2023","Thu Apr 27 15:29:04 GMT 2023","12591","tests.integration.dbapi.async","test_queries_async","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Thu Apr 27 15:29:21 GMT 2023","Thu Apr 27 15:38:46 GMT 2023","564719","tests.integration.dbapi.sync","test_system_engine","","","","test_start_stop_engine",""
"skipped","Thu Apr 27 15:29:13 GMT 2023","Thu Apr 27 15:29:13 GMT 2023","0","tests.integration.resource_manager","test_engine","","","","test_copy_engine",""
"passed","Thu Apr 27 15:29:19 GMT 2023","Thu Apr 27 15:29:19 GMT 2023","121","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[create_connection-firebolt_cli/utils.py-FireboltCLI/1.0.0]",""
"skipped","Thu Apr 27 15:28:48 GMT 2023","Thu Apr 27 15:28:48 GMT 2023","0","tests.integration.dbapi.async","test_auth_async","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Thu Apr 27 15:28:49 GMT 2023","Thu Apr 27 15:28:50 GMT 2023","695","tests.integration.dbapi.async","test_errors_async","","","","test_sql_error","Connection properly reacts to SQL execution error."
"passed","Thu Apr 27 15:28:50 GMT 2023","Thu Apr 27 15:28:51 GMT 2023","1101","tests.integration.dbapi.async","test_queries_async","","","","test_connect_engine_name","Connecting with engine name is handled properly."
"passed","Thu Apr 27 15:28:50 GMT 2023","Thu Apr 27 15:29:03 GMT 2023","12347","tests.integration.dbapi.async","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Thu Apr 27 15:28:49 GMT 2023","Thu Apr 27 15:29:02 GMT 2023","12533","tests.integration.dbapi.async","test_queries_async","","","","test_insert","Insert and delete queries are handled properly."
"passed","Thu Apr 27 15:28:53 GMT 2023","Thu Apr 27 15:28:53 GMT 2023","600","tests.integration.dbapi.sync","test_queries","","","","test_connect_engine_name","Connecting with engine name is handled properly."
"passed","Thu Apr 27 15:28:50 GMT 2023","Thu Apr 27 15:29:07 GMT 2023","16713","tests.integration.dbapi.async","test_queries_async","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Thu Apr 27 15:28:53 GMT 2023","Thu Apr 27 15:28:54 GMT 2023","628","tests.integration.dbapi.sync","test_queries","","","","test_select","Select handles all data types properly."
"skipped","Thu Apr 27 15:29:08 GMT 2023","Thu Apr 27 15:29:08 GMT 2023","0","tests.integration.dbapi.sync","test_queries","","","","test_server_side_async_execution_cancel","Test cancel()."
"passed","Thu Apr 27 15:28:51 GMT 2023","Thu Apr 27 15:28:51 GMT 2023","169","tests.integration.dbapi.sync","test_errors","","","","test_engine_url_not_exists","Connection properly reacts to invalid engine url error."
"passed","Thu Apr 27 15:29:20 GMT 2023","Thu Apr 27 15:29:20 GMT 2023","134","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[get_conn-firebolt_provider/hooks/firebolt.py-Airflow/1.0.2]",""
"passed","Thu Apr 27 15:29:08 GMT 2023","Thu Apr 27 15:29:08 GMT 2023","163","tests.integration.dbapi.sync","test_queries","","","","test_server_side_async_execution_query","Make an sql query and receive an id back."
"skipped","Thu Apr 27 15:28:50 GMT 2023","Thu Apr 27 15:28:50 GMT 2023","0","tests.integration.dbapi.async","test_queries_async","","","","test_server_side_async_execution_get_status","
    Test get_status(). Test for three ending conditions: Simply test to see
    that a StatusQuery object is returned. Queries are succeeding too quickly
    to be able to check for specific status states.
    "
"passed","Thu Apr 27 15:28:52 GMT 2023","Thu Apr 27 15:28:53 GMT 2023","613","tests.integration.dbapi.sync","test_queries","","","","test_connect_no_engine","Connecting with engine name is handled properly."
"passed","Thu Apr 27 15:29:13 GMT 2023","Thu Apr 27 15:29:14 GMT 2023","972","tests.integration.resource_manager","test_engine","","","","test_databases_get_many",""
"skipped","Thu Apr 27 15:29:13 GMT 2023","Thu Apr 27 15:29:13 GMT 2023","0","tests.integration.resource_manager","test_engine","","","","test_create_start_stop_engine",""
"passed","Thu Apr 27 15:28:54 GMT 2023","Thu Apr 27 15:29:22 GMT 2023","27557","tests.integration.dbapi.sync","test_queries","","","","test_drop_create","Create and drop table/index queries are handled properly."
"passed","Thu Apr 27 15:29:04 GMT 2023","Thu Apr 27 15:29:09 GMT 2023","5048","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[2]",""
"passed","Thu Apr 27 15:29:14 GMT 2023","Thu Apr 27 15:29:17 GMT 2023","2989","tests.integration.resource_manager","test_engine","","","","test_engine_update_single_parameter",""
"passed","Thu Apr 27 15:29:35 GMT 2023","Thu Apr 27 15:29:35 GMT 2023","227","tests.integration.dbapi.sync","test_system_engine","","","","test_query_errors[CREATE DIMENSION TABLE dummy(id INT)]",""
"passed","Thu Apr 27 15:28:49 GMT 2023","Thu Apr 27 15:28:50 GMT 2023","1144","tests.integration.dbapi.async","test_errors_async","","","","test_engine_stopped","Connection properly reacts to invalid engine name error."
"passed","Thu Apr 27 15:28:51 GMT 2023","Thu Apr 27 15:28:51 GMT 2023","198","tests.integration.dbapi.sync","test_errors","","","","test_invalid_account","Connection properly reacts to invalid account error."
"passed","Thu Apr 27 15:28:49 GMT 2023","Thu Apr 27 15:28:49 GMT 2023","409","tests.integration.dbapi.async","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Thu Apr 27 15:29:07 GMT 2023","Thu Apr 27 15:29:12 GMT 2023","4901","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[1]",""
"passed","Thu Apr 27 15:28:51 GMT 2023","Thu Apr 27 15:28:52 GMT 2023","288","tests.integration.dbapi.sync","test_errors","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Thu Apr 27 15:29:06 GMT 2023","Thu Apr 27 15:29:18 GMT 2023","12154","tests.integration.dbapi.sync","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Thu Apr 27 15:29:16 GMT 2023","Thu Apr 27 15:29:20 GMT 2023","3500","tests.integration.dbapi.sync","test_system_engine","","","","test_detach_engine",""
"passed","Thu Apr 27 15:28:54 GMT 2023","Thu Apr 27 15:29:05 GMT 2023","11670","tests.integration.dbapi.sync","test_queries","","","","test_insert","Insert and delete queries are handled properly."
"skipped","Thu Apr 27 15:28:48 GMT 2023","Thu Apr 27 15:28:48 GMT 2023","0","tests.integration.dbapi.async","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Thu Apr 27 15:29:22 GMT 2023","Thu Apr 27 15:29:33 GMT 2023","11043","tests.integration.dbapi.sync","test_queries","","","","test_multi_statement_query","Query parameters are handled properly"
"passed","Thu Apr 27 15:29:19 GMT 2023","Thu Apr 27 15:29:19 GMT 2023","151","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Thu Apr 27 15:28:49 GMT 2023","Thu Apr 27 15:28:49 GMT 2023","858","tests.integration.dbapi.async","test_errors_async","","","","test_engine_url_not_exists","Connection properly reacts to invalid engine url error."
"passed","Thu Apr 27 15:29:17 GMT 2023","Thu Apr 27 15:29:19 GMT 2023","1694","tests.integration.resource_manager","test_engine","","","","test_engine_update_multiple_parameters",""
