"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 22 19:19:20 GMT 2023","Mon May 22 19:19:21 GMT 2023","809","tests.integration.dbapi.sync","test_errors","","","","test_engine_stopped","Connection properly reacts to engine not running error."
"skipped","Mon May 22 19:19:16 GMT 2023","Mon May 22 19:19:16 GMT 2023","0","tests.integration.dbapi.async","test_auth_async","","","","test_refresh_token","Auth refreshes token on expiration/invalidation"
"passed","Mon May 22 19:19:25 GMT 2023","Mon May 22 19:19:37 GMT 2023","12462","tests.integration.dbapi.sync","test_queries","","","","test_parameterized_query","Query parameters are handled properly."
"skipped","Mon May 22 19:19:16 GMT 2023","Mon May 22 19:19:16 GMT 2023","0","tests.integration.dbapi.async","test_auth_async","","","","test_credentials_invalidation","Auth raises authentication error on credentials invalidation"
"passed","Mon May 22 19:19:43 GMT 2023","Mon May 22 19:19:49 GMT 2023","6262","tests.integration.resource_manager","test_engine","","","","test_engine_update_single_parameter",""
"passed","Mon May 22 19:19:19 GMT 2023","Mon May 22 19:19:20 GMT 2023","311","tests.integration.dbapi.async","test_queries_async","","","","test_server_side_async_execution_query","Make an sql query and receive an id back."
"passed","Mon May 22 19:19:46 GMT 2023","Mon May 22 19:19:46 GMT 2023","112","tests.integration.utils","test_usage_tracker","","","","test_usage_detection[establish_async_connection-destination_firebolt/destination.py-AirbyteDestination/]",""
"passed","Mon May 22 19:19:16 GMT 2023","Mon May 22 19:19:17 GMT 2023","563","tests.integration.dbapi.async","test_errors_async","","","","test_engine_name_not_exists","Connection properly reacts to invalid engine name error."
"passed","Mon May 22 19:19:21 GMT 2023","Mon May 22 19:19:33 GMT 2023","12184","tests.integration.dbapi.async","test_queries_async","","","","test_parameterized_query","Query parameters are handled properly."
"passed","Mon May 22 19:19:32 GMT 2023","Mon May 22 19:19:40 GMT 2023","7939","tests.integration.dbapi.sync","test_queries","","","","test_anyio_backend_import_issue[0]",""
"passed","Mon May 22 19:19:40 GMT 2023","Mon May 22 19:19:53 GMT 2023","12815","tests.integration.dbapi.sync","test_queries","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Mon May 22 19:19:18 GMT 2023","Mon May 22 19:19:32 GMT 2023","13960","tests.integration.dbapi.async","test_queries_async","","","","test_bytea_roundtrip","Inserted and than selected bytea value doesn't get corrupted."
"passed","Mon May 22 19:19:23 GMT 2023","Mon May 22 19:19:24 GMT 2023","1604","tests.integration.dbapi.sync","test_queries","","","","test_connect_no_engine","Connecting with engine name is handled properly."
